,train games,agent index,eval games,agent type,win rate,mean VPs,std VPs,mean winner VPs,std winner VPs,Plot Quests Taken Frac,Plot Quests Completed Frac,Lord Quests Taken Frac,Lord Quests Completed Frac,Buildings Purchased per Game,Intrigue Cards Played per Game,Quests Taken per Game,Quests Completed per Game
32,4000,0,100,DQNAgent,0.63,66.93,14.592638555107161,73.93650793650794,12.726516519697267,0.2917316692667707,0.3316953316953317,0.38221528861154447,0.3882063882063882,0.24,5.18,6.41,4.07
33,4000,1,100,RandomAgent,0.11,48.47,11.301729956073098,61.72727272727273,5.690357219828663,0.26666666666666666,0.326271186440678,0.42857142857142855,0.3898305084745763,1.62,2.16,4.2,2.36
34,4000,2,100,RandomAgent,0.13,49.98,12.073094052478842,66.46153846153847,10.455880823105351,0.27912087912087913,0.376,0.378021978021978,0.452,1.57,2.21,4.55,2.5
35,4000,3,100,RandomAgent,0.13,49.79,11.684429810649725,66.46153846153847,8.372256240477416,0.2505800464037123,0.33070866141732286,0.37354988399071926,0.3543307086614173,1.61,2.22,4.31,2.54
36,4500,0,100,DQNAgent,0.78,71.68,13.77815662561578,75.2948717948718,12.409786227583966,0.2880886426592798,0.33793103448275863,0.40443213296398894,0.4114942528735632,0.26,7.01,7.22,4.35
37,4500,1,100,RandomAgent,0.05,47.29,12.427626482961259,72.0,10.972693379476162,0.27951807228915665,0.35909090909090907,0.41686746987951806,0.41818181818181815,1.77,1.85,4.15,2.2
38,4500,2,100,RandomAgent,0.06,49.18,10.905393161184056,65.66666666666667,7.272474743090476,0.28289473684210525,0.344,0.3793859649122807,0.396,1.45,2.14,4.56,2.5
39,4500,3,100,RandomAgent,0.11,48.84,12.700173227165052,70.18181818181819,9.427408607769753,0.24647887323943662,0.29535864978902954,0.4225352112676056,0.39662447257383965,1.51,2.09,4.26,2.37
40,5000,0,1500,DQNAgent,0.8606666666666667,77.206,14.654176787978686,80.15646785437646,13.127226851581053,0.2677693761814745,0.32384842935624736,0.3945179584120983,0.39752077757430626,0.442,8.342,7.053333333333334,4.732666666666667
41,5000,1,1500,RandomAgent,0.050666666666666665,48.40266666666667,12.037408063569536,67.36842105263158,10.94825401276285,0.27862884877900806,0.3358147229114971,0.4034582132564842,0.39757375241246207,1.5346666666666666,1.9486666666666668,4.395333333333333,2.418
42,5000,2,1500,RandomAgent,0.05,49.51733333333333,12.198812765547673,68.92,10.205567108201288,0.2810447533221323,0.33982395305414775,0.40232167404918284,0.4049079754601227,1.5826666666666667,2.0206666666666666,4.3646666666666665,2.4993333333333334
43,5000,3,1500,RandomAgent,0.03866666666666667,48.760666666666665,11.669478118388824,69.32758620689656,9.88797237161789,0.27727342668102783,0.3356948228882834,0.39021387905831667,0.40626702997275205,1.5113333333333334,1.9853333333333334,4.332666666666666,2.4466666666666668
